Локация;Номер аудитории;Название подразделения;Этаж;ФИО;Краткое описание;Описание для дополненной реальности;Сцена;Должность
;2501;Отдел управления кампусом;1;;;;2501;
0;2502;Инженерная школа(факультет);1;;Инженерная образовательная среда для учителей и студентов;;2502;
0;2503;Центр проектной деятельности;1;;;;2503;
0;2504;Отдел контроля и делопроизводства;1;;;;2504;
0;2505;Центр проектной деятельности материально-техническое обеспечение;1;;;;2505;
0;2506;Центр проектной деятельности;1;Лепёшкин Илья Александрович;Начальник центра проектной деятельности;;2506;
0;2507;Управление модернизации и эксплуатации кампуса;1;;;;2507;
0;2508;Секретариат;1;Колтунов Игорь Ильич;Учёный секретарь;;2508;
0;2251;Управление комплексной безопасностью;1;;;;2251;
0;2552;Управление комплексной безопасности;1;Тюменев Александр Владимирович;Кабинет начальника управления комплексной безопасности;;2552;
0;2553;Отдел охраны труда;1;;;;2553;
0;2554;Медпункт;1;;;;2554;
0;2555;Кафедра физического воспитания;1;;;;2555;
0;2556;Кафедра физического воспитания;1;;;;2556;
0;2557;Кафедра физического воспитания;1;;;;2557;
0;2558;Кафедра физического воспитания;1;;;;2558;
